username,tanggal,bintang,komentar
Magic Chass Indonesia,2025-05-04,1,"apk nonton anime yang sangat buruk! daftar anime tidak lengkap, di tambah berbayar. berbayar kok tidak lengkap? tidak tahu malu!"
Sitti rohani Rohani,2025-05-04,2,belom nonton kwwk
MUHAMMAD REZKY,2025-05-04,1,film 1% iklan 99% mohon di kurangi iklan nya di pertengahan muncul Mulu kadang 5 kadang 6 mohon di kurangi
Jacky,2025-05-04,1,ini gimana ya? cuma anime solo leveling yang subtitle Indonesia nya delay. tpi anime lain ga delay kanapa ini tolong. dan delay ini hanya di android TV di HP tidak. kalo ga ada solusi mungkin saya ga jadi langganan di apk ini😓
Krisna Bagus,2025-05-03,1,iklan teros
Leopold Girel,2025-05-03,1,loco aplikasi loco
Saya Realme,2025-05-03,4,yaa wajar lah dengan iklan yang bnyak karena sudah nonton gratis dan ga berbayar makanya dipasang iklan yang bnyak
Ahmad Safri,2025-05-03,1,"iklannyaa ga ngotak, ga usah download"
dendy hidayat,2025-05-03,1,tidak tersedia subtitle berbahasa Indonesia dan audio indonesia
Khairil Azmi,2025-05-03,5,gila bagus apk nya
Rehan Eka,2025-05-03,3,subtitlenya kurang.😡bahasa indo kadang ada kadang gak!
Abdu Salam,2025-05-03,5,mantap
Oka Wicaksana,2025-05-03,1,"subtitel apaan delay gajelas kek subtitel episode sebelumnya. minimal di perbaiki lah, enak2 nonton malah subtitel nya bug"
Manusia Super,2025-05-03,1,Ngeleg nya gak karuan ini apk hadeh beda bat ama sebelah
Com Puters,2025-05-03,1,iklan semua 1 dari 5 iklan?? apaan iklan sebanyak itu mending lihat di web dari pada di apk ini 👎👎👎👎👎👊
Satria Agustian,2025-05-03,5,mantap
Wwn X Angi,2025-05-03,1,tolong lah iklan nya jangan kelebihan ini iklan nya terlalu banget gw yang seru nonton kerasa ke gangu banget gw ksi rtng 1 karna gw juga udah hapus nih apk terlalu banyak iklan dan teks terjemah nya kadang bug
Fadiyah Ghaitsa,2025-05-02,4,"sejauh ini lumayan bagus yeah, iklan nya yaa gtu deh wajar aja kok kualitas ny jg ok mines ny itu cuma di bagian subtitle/CC sering bgt tiba' ilang jd harus di otak atik dlu deh dan subtitle ny jg kurang lengkap gtu, ada beberapa bagian yg gk di terjemahin dan ya itu lumayan ganggu sii :< udh itu aja tolong di benerin ya kurang nyaa huhuu biar lebih nyaman nontonnya okee makasihh ><"
Syam bilal Muhaimin,2025-05-02,1,langganan buat nonton haikyuu the dumpster tapi malah gada
Winda Gustiana,2025-05-02,2,aku download apk ini ku kira ada anime marmalade boy soalnya katanya di apk ini ada anime marmalade boy tahu²nya gak ada.
Ruth Brika,2025-05-02,5,apk untuk nonton anime ini menurutku bagus banget 😁
Fani Ajh,2025-05-02,5,Ok
Ibnu Fauzan,2025-05-02,3,"untuk developer maaf saya memberikan bintang 3🙏, tolong beberapa anime yang ingin saya tonton itu harus premium dulu, dan juga kadang anime yang saya cari tidak ada, untuk saat ini saya hanya bisa memberikan bintang 3, kalau sudah diperbarui saya akan kasih bintang 5👍"
Muhamad Dandy,2025-05-02,5,ok bgt min iklan
ainun cantek,2025-05-01,4,DI GUA KAGA BISA DI UPDATE ANJIRRR
Second Chance,2025-05-01,5,Gilak Wak kirain bayar dulu baru nonton tapi hanya dengan nonton iklan (ya walau banyak sih) sudah bisa nonton anime dengan berbagai dubbing+hd. Tambahkan lagi lisensi anime ke dalam apknya👍
Rafli Gernalive,2025-05-01,1,subtitle cc di dub english buruk dan delay tolong perbaiki
Ikhwan Asshidiqie,2025-05-01,5,manga
Kaila Azmi,2025-05-01,5,bagus
Deni R,2025-05-01,5,enak banget bangke
ANZIL ZUQNA,2025-05-01,1,buriq banyak iklan nguras paket
PFW _101,2025-05-01,1,"tak bise masuk la, cemana ni"
Mohammad Farel Imam Ibnu Saputra,2025-04-30,5,"seleb bener lu admin crunchyroll di tanya malah di diemin aneh bener kocak, nggak ramah sama sekali"
Vianbesukk,2025-04-30,1,banyak bgt iklan nta bgsat
Doni Raditya,2025-04-30,5,mantap
Rapa Soleh,2025-04-30,4,"sebenernya saya blom mencoba aplikasinya, ini keluhannya saya saat saya ingin masuk ke aplikasi itukan ada tampilan email sandi dll, nah saya udh taro semua email saya sandi udh saya taro tapi tetep kagak bisa masukk saya dah coba bnyk akun sampe bikin 3 akun tapi kagak bisa, itu saja keluhannya saya kalo ada kesalahan saya minta ultramen salam dari Jepang"
Ahmad Faruq,2025-04-30,1,di tempat saya kok black screen ya
Ahmad Fadilah,2025-04-30,1,"sumpah, kasih iklan gx nanggung nanggung, langsung di kasih 5 iklan berturut-turut, nanti kalo udah sperapat vidio 6 iklan, gitu seterusnya, kita mau nonton anime, bukan iklan ya bos"
Mistra Hikmah,2025-04-30,5,bagus dan memberi uji coba selama 7 hari
Ramadan stor,2025-04-30,4,kerenn
Arianto Miri,2025-04-30,5,👍👍
sosisbakar jumborian,2025-04-29,3,kurang update. sub title masih banyak banyak inggris. dan masih bnyak yg kurang untuk kelanjutan nya seperti season dan kebanyakan premium.
Andra Samara,2025-04-29,5,bagus banget
White UwU _craft,2025-04-29,5,bisa nonton DBd sama dbz dengan tenang tanpa subtitle nguwawur wkwk
Anas Alhadromii,2025-04-29,1,kagak jelas padahal e-mail gua emang itu tolol
Irfan Irfan,2025-04-29,1,nggak bagus
Nazmaa,2025-04-29,1,cara loginnya gimana njirrr
Adhit Sakti,2025-04-29,5,Good
Fathur Habibi,2025-04-29,1,takarirnya kadang kadang kecepatan kadang kadang lambat susah jadinya mana iklannya banyak lagi
Deva Alan,2025-04-29,5,bagus
Fathir Rizky,2025-04-28,1,kebanyakan bayar
Patrick,2025-04-28,5,bgus banget
Maulana Reyhan Darise,2025-04-28,5,PEAK
Muhammad Rifki Rifaldi,2025-04-28,5,"banyak anime yg gak muncul pas search di versi web padahal animenya ada:"""
Akun Keluarga,2025-04-28,2,"iklannya bejibun anjir, mau naik haji lu?"
Husni Algifari,2025-04-28,4,ok
Slamet Riyadi,2025-04-28,1,gak bagus semuanya harus bayar
Alif Winata,2025-04-28,1,banyak iklannn aplikasi gaje gua cuma nonton dandadan iklannya ada 20 apa coba
Nugeraha Aan,2025-04-28,1,knpa jdi premium semuah gk kyk watu masih animein jdi gk suka gk ada yg bisa d tonton berbayar semuah
Rizki Anto,2025-04-27,5,"mantab dah ni apk,tpi turunin harga buat premium lah min 🤣🤣"
Rhudy Stheal,2025-04-27,1,aplikasi sampah
Byu Bawayyu,2025-04-27,1,tidak ada bahasa indonesia
Paplpalepalpale babapakpiyak Akun alyong dan pirong,2025-04-27,1,mau nonton one piece aja gk bisa kenapa harus premium coba😡 pas saya mau nonton one piece eh malah... semua nya premium
Guido Alexsius nababan,2025-04-27,1,"buruk banget ni aplikasi ,iklan nya di pertengahan video sampai 6 kali mana setiap satu iklan durasi nya 30 detik itu iklan di pertengahan ada 4 kli, kali aja 6 kali 4 sebanyak itu iklan nya uda jgn di download buang buang paketan gw aja."
Hazu Kaze,2025-04-27,1,knp ya ini aku nyoba prem 7hari gratis tiba tiba disuruh bayar tunggakan 30rb an jadinya kebayar sendiri sama google nya itu bikin saya nyesel download aplikasi ini
Dinda meilanie,2025-04-27,4,gaada translate indonesia:(tapi seru seru film nya
Lucio Pedro De Jesus,2025-04-27,5,aplikasinya bagus anime nya juga banyak dan gratis tapi terlalu banyak iklan
Zema,2025-04-27,5,aplikasi nya bagus euy
hujan deras,2025-04-27,1,susah untuk login ke aplikasi nyah coba masuk dulu tanpa akun biar lancar dulu pas sudah di dalam bisa nonton anime nyah kalau sudah bisa login baru bisa masuk kin akun nyah terpisah dong jangan baru masuk langsung suruh login ke akun
Muhammad Ayubi,2025-04-27,5,apk bagus cuman banyak iklanya sih
M Facrudin Tio,2025-04-27,2,"agak rugi langganan di sini, buat di smart tv sub indo nya telat banget. bahkan sampai seminggu masih gak ada sub indonya"
Raden fikri,2025-04-27,1,"susah login, katanya email ga valid, trs gw harus bikin email lagi hanya buat ninton gitu"
Nana uunaaa,2025-04-27,1,"saya sangat kecewa, saya pikir anime nya lengkap ternyata tidak! saya hanya ingin menonton haikyuu tapi malah tidak ada. giliran saya mau nonton my hero academia: vigilantes malah premium, emang paling bener di lengkapi aja dulu anime nya 😹😹😹"
No Name,2025-04-27,1,anime kurang lengkap!!!! udah nontonnya bayar tapi animenya kurang lengkap
Razif Al,2025-04-26,1,aplikasi sampah! banyak iklan
Chaerin Valencia,2025-04-26,1,"gabisa login :"")"
Sugi Bisnis link,2025-04-26,1,nontonin film ✖ nontonin iklans✔✔
saka caesar,2025-04-25,5,bagus hanya iklan yang menyebalkan
lando gntg,2025-04-25,4,"hehmm,buat apk nya oke lah lumayan fitur nya juga ngga ribett,kaya apk sebelah simpel dan muda di mengerti,tpi kalo saran sya mending lansung premium aja gess,klo yg ngga suka nungguin ikalm gitu oke"
Naztoddd,2025-04-25,5,"enjoy parah, harga nya jg pas oke bgt"
Zahwan Andrianto,2025-04-25,2,tambahin Subtitle Indo pliss
Ahmad Faiz,2025-04-24,5,bagus
Abdurrahman Daud,2025-04-24,1,banyak iklan
Rehan Zx,2025-04-24,2,anime ga lengkap walupun adaa anime yg mau gw tonton pasti harus langganan dulu kecewa sih
Wisnu Andri,2025-04-24,5,top
Muhammad Iksan,2025-04-24,5,baguss
Anak,2025-04-24,5,bagus apk nya kok tapi bisa tambahin anim B Daman crosfire ga nya pengen nostalgia:)
Arrahman Hardianto,2025-04-24,3,"download apl ini buat login , LON sea gagal terus, why??? login lewat google bisa aneh."
Ondir Ira,2025-04-24,4,-iklan nya lama
Ayub Prayoga,2025-04-24,1,download aja harus premium dulu pelit amat gimana mau laku
Candra Angkasa,2025-04-24,5,jangan di download
arga hayuk,2025-04-24,5,wow apk bagus
Lcv,2025-04-23,1,"nggak ngontak ngasih iklan 10 detik sekali udah gitu sekali muncul iklan 3, 30 detik semua pula iklannya. nonton anime rasa nonton iklan 20 menitan."
Zaenudin Rembang,2025-04-23,5,very good
April 123,2025-04-23,1,mantap
Abim Pratama,2025-04-23,3,"kadang subtitel nya gak sesuai, kadang telat sampe 3 detik lebih, kadang subtitelnya sama kaya episode sebelumnya, tolong diperbaiki lagi"
Ridwan Pinad,2025-04-23,1,"APLIKASI TERGILA YANG PERNAH GUA DOWNLOAD, SEKALI NONTON IKLAN BEJIBUN 1 OF 6 GILA, 1 IKLAN AJA 15 DETIK - 30 DETIK GILA BENER, SEPI SEPI LAH INI APLIKASI, GAUSAH DI DOWNLOAD"
Kila Asdira,2025-04-23,1,kuat makan paket ini satu vidio saja bisa ngambil 1gb
Asep Sopian,2025-04-23,1,susaah login email sandi udah bener
Robiatul Adawiyah,2025-04-23,5,aku nak isekai ojisan
Suharno Lilik santoso,2025-04-23,1,gak ada film yang aku tonton
Ahmad Faisal,2025-04-23,1,Apk stream anime tier bawah tapi premiumnya mahal mending bajakan mah ini
Akun Googele,2025-04-23,1,gak ada bahasa Indonesia jadi dikasih satu klo ada aku kasih lima
WA tan Ramlan,2025-04-23,5,GG banyakin aja anime yang punya subtitle Indonesia
Ulun Andhara R,2025-04-23,1,"Subtitle selalu delay / tidak sinkron dengan percakapan karakter, sudah bayar mahal untuk beli premium tapi sial👎🏻"
Mang Adek,2025-04-23,1,aplikasinya bagus cuman masih banyak yang tidak ada sub indonesianya 🤦
Tiani Saputri,2025-04-22,1,tidak lengkap!!!!! marah bgt
Sahrun Nizam,2025-04-22,1,"gila iklan 30 detik 6 kali , kapan selesainnya"
inal rider,2025-04-22,1,animenya gak lengkap
Ananta Aufa Bakhtiar,2025-04-22,5,"Suka banget sama path season tiap judul anime, memudahkan buat yang bingung mau nonton judul anime darimana."
Nᴀɴɴ 01,2025-04-22,1,"baru nonton fire force s1 episode 14 sampai seterusnya subtitelnya rusak, malah udah premium, nyeselbanget kalok semua episode kayak gini"
Ihwan Nursarif,2025-04-22,3,kenapa subtitle indonesia sering tidak tersedia di beberapa anime atau episode
Alwan Fatir,2025-04-22,5,minn bikin yang episode terakhir aot di penerjemah nya ke Indonesia min gak ngertii bahasa inggris 😮‍💨😮‍💨
Iksan Kusuma,2025-04-22,1,APLIKASI GAJELAS TIBA TIBA POTONG SALDO DANA TANPA SAYA SETUJUI DULU GK GITU JUGA NYARI UANG LAH
Ida Am,2025-04-22,5,bagusss
suwandi napitupulu,2025-04-22,5,mana subtitle indonesia episode terbaru nya boss
Yuko,2025-04-22,2,"animenya bisa dibilang lengkap, tapi iklan-nya banyak banget, diawal iklan dua kali, ditengah juga. walau cuma 3,tapi itu iklannya lamaaa.kalo bisa sih, diganti biar gak bosen, iklan-nya itu mulu"
Ismy Istiqomah,2025-04-21,1,"rawan kebocoran data, hati2 saja ya gais, aku sudah gak pake aplikasi ini sejak tgl 15 april, tiba2 tgl 21 april ada pemberitahuan ada orang lain yang pake akun ku , ngeriii anjir"
saya siapa,2025-04-21,3,"banyak anime bagus yang tidak memiliki subtitle Indonesia, dan iklan terlalu lama. dan bila ada masih banyak kesalahan dan subtitle"
Suher Man,2025-04-21,5,lumayan menghibur
Grey Watson,2025-04-21,2,banyak banget anime populer gak ada di sini
Cahaya Ramadhani,2025-04-21,1,"GK tau mana yg salah ,sandi undah bener Gmail nya udh bener ,tetep aja GK bisa masukkk anehh"
Karsidi Tikna,2025-04-20,5,hebat
Dzikru,2025-04-20,1,pecuma ngak bisa masuk buang buang kuota buat aplikasi yang ngak bisa dibuka
Gopal Soleh,2025-04-20,3,"bagus sih daftar anime nya lengkap, minusnya kadang ada anime yang g support bahasa Indonesia"
Putri Arizkya,2025-04-20,1,"apk sampah. why apk sampah? udh g lengkap iklan banyak. belum coba aja di spam premium. aku g masalah soal iklan sebab emg lgi cari animie khusus aja, ad yg recommendasi' in ini tpi malah sampah gni yaudah lah gpp terserah. maaf jg terlalu kasar."
Galih Syaidina,2025-04-20,1,"bodoooooh!!!!,aku mau masuk saja harus banget pake pasword,mending nonton anime di animeplay,disitu lebih jelas dari bada disini,kalo disana aku masukin email aja udah masuk disini udah masukin email harus lagi masukin password,silAHkAn MAsUkAn PasSwoRD aNdA,dasar gajelas bangeet,gak pantas di download,"
SHiki -chan,2025-04-20,1,apk ga jelas udah masukin sandi + email yang bener ga bisa masuk tolol lah
Ranti Septiani,2025-04-20,5,minusnya lama bgtt menginstal nya padahal kuota penuhh and sinyak buanyakk
dayah cantik,2025-04-20,5,mantap
Rasyid Saja,2025-04-20,5,aplikasi terbaik! seru banget nontonnya!
aidil dil,2025-04-20,5,or rite ini apk ny bgus bgt di tambah harga nya yg murah
Wiliam Wiliam,2025-04-20,1,"Waktu saya mau melihat sebuah anime, entah kenapa aplikasinnya tidak berfungsi, di layar hanya ada gambar loading yang tidak ada Hentinnya, semoga masalah ini bisa di fix dengan cepat"
Monton,2025-04-19,1,"gak jelas,mau login aja susah alesannya sandi tidak valid kek padahal udah bener sandinya😠."
Bagasazizsetyawan,2025-04-19,5,完璧
samuel bintang,2025-04-19,1,ampas banget ini anime masa semua anime premium sedikit doang yang ga premium
ipang,2025-04-19,1,apk jelek
I.V.O. Mlbb,2025-04-19,2,"ga asik, berbayar😒"
Agung Ganteng,2025-04-19,1,kocak tbate jadi jelek karna saran ini
yodi darmansah,2025-04-19,3,saya sudah memahami aplikasinya.. memang bagus.. tapi? ada anime yg subtitlenya masih english.. meski sudah ku ubah ke indonesia. kalo bisa semua anime yg belum subtitle indonesia mohon di perbaiki. dan subtitle indonesia ada di semua anime.. itu saja sih yg kurang aku suka.💔💔
Sasuke Uchiha,2025-04-19,5,Mantep
Rama Deriwansa,2025-04-19,5,mantap
rafkha aditya,2025-04-19,5,Sangat bagus
Y Uayh,2025-04-19,5,gacor
Abdul Najib,2025-04-19,1,ra masok
Ance Maria,2025-04-19,5,sebenarnya harus pake email tapi anak saya suka karena ada anime lama
Siti Juni,2025-04-18,3,i thought i can use a 7day free trial premium. but why do i still need to pay to do so? what a scam.
FIFANCO,2025-04-18,5,"why email, wouldn't gmail be better? difficulty in entering..."
Aldrich Limdustin,2025-04-18,1,semua premium
Yanto Galang,2025-04-18,1,aplikasi gak jelas mending bstation
Ac Gama Prolink City,2025-04-18,5,mantap terlengkap
Lapak Laku,2025-04-18,1,gw ga tau kenapa di sini bocchi the rock dan the tatami galaxy ga ada episode nya
naufalimtiyaz akram,2025-04-18,1,apalah anime dikit ketinggalan jaman kahh???
Adnan Solahudin,2025-04-18,1,apakah tidak bisa nonton anime secara gratis? seperti aplikasi anime lainnya? anime gintama itu lebih dari 316 eps enggak?
Mina Mina,2025-04-18,5,bagus animenya lengkap
Van argo,2025-04-17,2,susah masuk nya
Virna Aulia,2025-04-17,4,"apk nya bagus , tapi mohon maaf untuk apk ini mungkin bisa lebih di perbaiki..mungkin jika bisa tolong ,untuk login ke aplikasi mungkin coba bisa pake akin google saja daripada pake email.🙏🏻"
Zepa Zepa,2025-04-17,5,one piece itu nyataaaa 🔥🔥🔥🔥🔥
Muhammad Raffa,2025-04-17,1,"kebanyakan iklan masa satu episode saja bisa nyampe 20 iklan, gabisa di skip lagi emang anime nya lengkap cuma minus nya itu"
Anita Herlinda,2025-04-17,5,ga ada alesan.
Fadhil Firdaus,2025-04-17,4,Aplikasinya bagus cuma Tidak semua animenya bertakarir indonesia dan juga setiap episode baru anime rilis tidak langsung ada takarir indonesia jadi harus nunggu terlebih dahulu. terus juga ada kekurangan yaitu jam tayang episode baru anime itu sedikit delay ada beberapa anime jam tayang nya itu delay 15 menit dan ada juga yang delay 30 menit. overall bagus tapi kekurangan itu yg buat gw tidak nyaman saat menggunakan aplikasi ini.
Star Alabama,2025-04-17,1,"nyesel banget, saya sudah berharap bisa nonton one piece kesukaan saya, ternyata harus langganan, saya sangat menyesal"
Jeevan Andrian,2025-04-17,1,kebanyakan yg premium anj
Wiwik Sulis,2025-04-17,5,sangat bagus gw suka bisa nonton anime beneran
Amar Qodir,2025-04-16,5,terbaik
Bendol Sodikin,2025-04-16,5,bagus
DARTH VADEER,2025-04-16,1,"njir baru donwload Premium semua.. gue hapus kembali... gk usah donwload gesss.. buang"" data"
Rogabe Lgaol,2025-04-15,2,kecewa berat banget sih udah langganan premium tapi masih banyak anime yang belum mendapatkan subtitle Indonesia nya masa saya harus menunggu lama padahal sudah tidak sabar untuk nonton. saya udah bulatin tekat mau nonton anime legal tapi aplikasi ini malah kalah sama aplikasi nonton anime lain yang ilegal yang cepat translate subtitle nya ke bahasa Indonesia. menurut ku aplikasi ini ga rekomend guys jangan sampai kayak aku :(
Sandi Apriliansyah,2025-04-14,5,apakah ini yang namanya surga
Acang,2025-04-14,1,CC indonesia nya kurang banyak
Argo,2025-04-13,1,"tolong banyakin subtitle bahasa Indonesia di anime, please"
Tngkumuyasir.2024,2025-04-13,5,👍👍👍
Ahmad Enjoy,2025-04-13,5,keren dan bagus banyak fitur nya
Wahyu Slowjaya,2025-04-13,5,wow keren
Vaniaaa,2025-04-13,1,"mau nonton one Piece di aplikasi ini tapi kebanyakan eps nya premium+ga lengkap, dan juga anime nya ga lengkap masa gw nyari Bleach disini kaga ada dan juga subtitle nya suka hilang padahal kata org org di aplikasi ini lengkap bgt anime nya tapi nyatanya malah gini 💔💔 jujur gw kecewa bgt jadi gw uninstal aja daripada menuh menuhin memori dan ga guna"
andin11,2025-04-13,3,lumayanlah
Aldhis Maulana,2025-04-13,1,Saya gak bisa buat akun
Attar Sunandar,2025-04-13,5,bagus
irfan hidayatullah,2025-04-13,3,tolong di aplikasi tv saya koq ga ada subtitle indo y ya padahal akunnya sama di hp ada sub y tapi di tv ga ada tolong di perbaiki trimakasih
Ardiansyah,2025-04-12,4,tambahkan subtitle Indonesia yang lengkap dong. tambahan juga profilnya bisa menggunakan pin seperti N3tfliX. yang lain udah bagus plis tambahan saya udah berlangganan.
darma12 jb,2025-04-12,2,kurang update nih aplikasi
Lelaki Cogan,2025-04-12,5,mantap
G R E E D,2025-04-12,2,"nonton anime gratis 1 episode,iklan nya gak beres beres😔"
Bejon Kopling,2025-04-11,1,"bro memberikan scam kepada Author TBATE, GAK RESPECT ! 👎"
Marchel Andika,2025-04-11,5,dengan pilihan anime yg banyak dan genre yg beragama membuat senang menonton nya dan tidak membuat jenuh terimakasih banyak Crunchyroll telah menyediakan beragam anime di Indonesia
Abdullah Zanieq,2025-04-10,5,"Aplikasinya bisa dibilang bagus, animenya banyak, gratis lagi, paling tinggal perbaiki + tambah subtitle Indonesianya 👍"
Pasha al,2025-04-09,3,"bagus cuma subtitle nya delay banget,kadang kadang subtitle nya ga muncul"
Alya Fitria,2025-04-09,1,harus premiumm jelek bangett anj
Rizal,2025-04-08,5,nice
Hai wildan,2025-04-07,1,berbayar.
Mitaa Anisa,2025-04-07,5,"in my opinion please add Indonesian subtitles.many animes do not have Indonesian language. this is my opinion, thank you."
Bagus Kurniawan,2025-04-07,5,Subtitle telat
Randi Mulyana (ujang),2025-04-07,1,sampah
Sun Jadi,2025-04-07,3,"Saya berikan bintang 🌟🌟🌟. Alasannya karena banyak sekali daftar anime lama dan bahkan baru-baru ini tamat tidak ada. Contohnya saja seperti anime The Apotechary Diaries. Lalu ditambah dengan pilihan subtitle Indonesia yang banyak sekali tidak ditambahkan pada streaming anime. Terlepas dari lisensi yang sudah berakhir, tapi sebagai pengguna streaming anime saya cukup kecewa dengan hal ini."
DN GPLAY,2025-04-07,5,ok
Castello Cello,2025-04-07,5,kerenn
Maizayani Ishaq,2025-04-07,1,buruk
Tatsumi,2025-04-07,5,"baru tau ada apk ini🗿, otw download buat nntn ONE PIECE🔥"
Fathir Rohman,2025-04-06,1,"sumpah dh g ada subtitle indo nya,gua sebagai maniak romance beberapa kali animenya g ada subtitle indo,mana cuma bisa b.inggris yg dasar mohon pengertiannya developer epsd baru onepice tdi aj g ada subtitle nya jir 4/6/2025"
Elingga Mukti,2025-04-06,1,kebanyakan premium
Supra X Fit,2025-04-06,5,aplikasi keren beda dari yang lain karena bisa skip intro 9/10
Ariel Kun,2025-04-06,5,aplikasinya bagus tapi tolong tambahkan subtitle Indonesia lagi di anime yg belum ada subtitle Indonesia nya udah itu aja sih menurut ku tentang aplikasi ini
Elaina Anime,2025-04-06,5,oke
Ilham Muhammadgias,2025-04-06,1,"gabisa log in, katanya sandi tidak valid, pdhl bener masa gw. lupa sandi, dan gw coba ganti sandi baru trus masukin dan tetep tidak valid pdhl email+sandi nya bener, trus gw coba apk lain aman sandi gw, ini ad yg error tolong"
nanda arafa,2025-04-06,1,APK GAGUNA ASUUUUU
Hariyadhi_selamat 07,2025-04-06,1,payah... udh beli premium niat mao nonton one piece malah ga update.. kalah sama bstation
Evan Sapan,2025-04-06,1,subtitle nya delay woii
Arthun Henkang,2025-04-05,1,Jangan didownload
Rafi Deathly,2025-04-05,1,niat buat apk kaga sih kok premium semua
Valencia Valencia,2025-04-05,5,bagus lah pokoknya ga kecewai
Aditya Kurniawan,2025-04-05,5,tolong tambahin anime dragon ball 1986!!!!
Rifa Hanif Afrizal,2025-04-05,3,Tolong buatkan pilihan buat resolusi download nya seperti 360p 480p 1080p dan saat download tahu juga sudah berapa MB jalannya
Eve Yon,2025-04-05,5,bagus karena ada dub English nya
Azriel Rizky,2025-04-04,5,aplikasinya super muantap
Bon Cianjur,2025-04-04,2,no Indonesian subtitles
Wahyu Ramadhan,2025-04-04,3,"please add more Indonesian translations, I have subscribed but many anime do not have Indonesian translations, especially newly released anime. thank you."
Saepu Zuhri,2025-04-04,5,bagus
029,2025-04-03,4,"Crunchyroll ini untuk sekarang cocok untuk nonton anime musiman bisa jadi alternatif dari aplikasi sebelah kalau gak ada dari sana. jangan cari anime lama (kecuali pake VPN region amerika), crunchyroll sendiri baru masuk indonesia tahun 2024. soal masalah gak ada sub indo itu tergantung hak/lisensi. dan teruntuk crunchyroll semoga aja bikin akun IG/FB khusus indonesia kalau ada masalah kan bisa lewat DM, soalnya capek lewat email mulu bukanya diperbaiki malah di abaikan 😂"
Saiful Bahri,2025-04-03,1,tidak lengkap movie tidak ada disini
Vicky Satria Oriza,2025-04-03,5,best anime app ever i think
Ahmad Aidil latif,2025-04-03,5,aplikasinya bagus
Mugiwara,2025-04-02,5,iya
—el wibuu karbitt,2025-04-02,5,oke
Raihan A,2025-04-02,3,lumayan
Abizar Khair,2025-04-02,1,"weh tolonglah, saya udh premium tpi tetep aja bnyk iklan. apalagi iklannya banyak dan juga lama, tolong dikurangin iklannya biar enak nontonnya"
Nabila Baisa,2025-04-01,2,"apaan blm 1 bulan udh ga bisa di pake langganannya padahal udh bayar klu mau perbaruan bok nanti kalu udh 1 bulan, lg enak"" nonton main di pedot ajh nyebelin😤"
Misrayani Rayani,2025-04-01,5,👍🏻👍🏻👍🏻👍🏻👍🏻
Sarifa Ipah,2025-04-01,5,sangat bagus saya sebagai otaku suka dengan aplikasi ini disini lumayan lengkap👌💯
Amar Amar,2025-04-01,4,banyak banget iklanny woi+anime nya sedikit
Faqih Guud,2025-03-31,1,dikit dikit iklan😡
Andrian Sahril,2025-03-31,4,perbanyak terjemahan bahasa Indonesia !
Akuanak Sehat,2025-03-31,3,"bagus sih,premium semua ajgg"
Ilham M,2025-03-30,1,kasih sub indo lah
Sadam Art,2025-03-30,1,saya sudah berlangganan tapi tidak mendapat akses anime yang lengkap hanya karna saya ada di korea
Muamar Kadafi,2025-03-30,5,maaf lupa matikan uji cobanya soalnya saya kira otomatis membatlkanya
Eka Yuliana,2025-03-30,5,"bagus,ada trialnya"
Khoirudin,2025-03-29,3,gimana daftarnya ini?
Celsi Olivia,2025-03-29,1,gk asik
Zakia Yuni,2025-03-29,1,tolong jangan di buat premium
Na Kun,2025-03-29,1,animenya gk lengkap masa anime higurashi no naku koro ni GK ada cih
Iyash Hartono,2025-03-28,2,"bikin makin kesel aja login susah, banyak lag, sering keluar dari apk sendiri. diperbaiki lagi. masi untung saya kasi bintang dua, sialan."
Barok Syahrona,2025-03-28,5,bagus
Qianu Azka Nugraha,2025-03-28,1,"apk jelek anime sedikit, nyesel beli premium gajelas banget pokonya b1"
Arsyil karim Ramadhan,2025-03-28,4,"overal aplikasi ini bagus cuma iklannya kurangin menjadi 3 iklan saja. gak papa kalo iklannya gak bisa di skip dan panjang, tapi sekali lagi tolong kurangin iklannya menjadi 3, karena saya pernah dapat 6 iklan dan durasinya panjang-panjang, ditambah lagi iklannya gak bisa di skip. Jadi untuk pihak Crunchyroll kurangi iklannya agar penonton bisa lebih nyaman nontonnya👍"
Muhammad Rusmawan,2025-03-28,4,subtitlenya kadang telat😩
Zapirun.,2025-03-27,4,nyedot kuotanya banyak bgt min 😭😭😭
Raheem Lutz Raheem Lutz,2025-03-27,1,bagus
Dwik,2025-03-27,5,mungkin untuk setiap/beberapa judul anime populer diharapkan bisa lebih di perluas lagi untuk subtitle Bahasa Indonesia nya 😁
AR QIIN,2025-03-27,1,"Aplikasi najis Subtitle nya Kaku, Bayar nya mahal banget, fitur dikit. 🤮"
Miguel Leon,2025-03-26,5,"crunchyroll aplikasi nonton anime, saya sudah lamah liat apk ini cuman saya baru pakai dengan serius.. kali ini dan juga baru pertama kali ini nonton anime dengan legal wkwkw udah berlangganan juga dari pengalaman sih yah karna baru pertama kali pakai dengan serius. saya blm dapet kendalanya di apk ini, bagus aja nih crunchyroll tapi tambahkan lagi subtitle untuk bahasa Indonesia ngk semua anime nya subtitle indo berkembang terus yah, semangat 🔥🫶"
Dekmat Salodo,2025-03-26,5,subtitle nya lebih cepat lagi bang!!! keluar subtitle nya lambat
Satria maulana,2025-03-26,4,"bro benar² tidak tahu lagi aku harus bagaimana, tolong untuk bagian development memperbaiki takarir sehingga ketika ada scene mengobrol sub nya tidak ketinggalan atau terlalu cepat... tolong perbaiki 🙏🏻"
Ishiba Shi,2025-03-25,5,ARISE
